logWeight,logLikelihood,parameter1,parameter2,parameter3,parameter4
-1117.51842545845,-1112.90825943913,0.0791383557350345,20.182414353714,0.0249884769891865,93.6675049874938
-1111.60807625916,-1106.98791023983,0.0858590541370864,15.0857753619402,0.0651456425862002,79.140545264587
-1093.40907482195,-1088.77890880262,0.219937255979656,14.2698774946554,0.0133102721425265,84.6173074462173
-957.697837605319,-953.057671585995,1.04714528261978,23.2776237706241,0.00377661398508581,44.3881973331716
-898.038509632207,-893.388343612882,1.43229536610134,18.2787295270998,0.00315511176266648,89.1531553741145
-871.859560656129,-867.199394636804,1.60606803785887,19.2991774818159,0.00322825071282376,50.4105180585248
-870.920144852625,-866.2499788333,1.61242506111133,20.2569403507049,0.0161288222389881,88.263242027335
-848.226433608435,-843.54626758911,1.76567842994489,23.2814865385439,0.00118957397669806,22.8920857637484
-832.076805846285,-827.38663982696,1.87624375112234,15.4391352266912,0.0430828126622515,68.2111734760446
-825.514287758873,-820.814121739548,1.92143252761435,23.1204570816213,0.0423847425835406,57.3430515226948
-805.374395475562,-800.664229456237,2.06191973886909,13.7396247618018,0.0569928783043722,88.273435822775
-780.810449864253,-776.090283844928,0.9726110668949,14.2938212975187,0.0706104189116818,72.8432447960129
-735.357864387241,-730.627698367916,5.16537497686533,23.5447487868636,0.0751719336609256,4.90512948288827
-728.723484684422,-723.983318665097,2.61622561909717,17.2230306344499,0.00441319099564024,69.8373118112562
-724.108217291602,-719.358051272277,10.5117169734857,22.5960415673073,0.052043487406678,1.48262872782222
-698.496019402937,-693.735853383613,1.71782881274128,23.8630482139898,0.0466895566640563,47.3882843550047
-655.175146092433,-650.404980073109,1.65239922949415,21.0438641166356,0.0731187990091889,73.9758368608808
-654.47420461589,-649.694038596566,3.18816512537852,14.8639782507697,0.0712009844323595,91.5175034330663
-638.970572854168,-634.180406834844,3.31291937042251,19.3579587367217,0.0119073806019573,51.7510188850747
-628.148710852235,-623.34854483291,3.40099904895655,16.1600336682209,0.00264609956974366,44.0957173123843
-606.337978090252,-601.527812070927,3.5814066561616,20.2027548264284,0.0268214521418801,85.0972529595884
-584.296082874856,-579.475916855531,3.76799680961248,15.8478464620552,0.0286037116207118,86.9195503389166
-582.655165281518,-577.824999262194,3.78214723492812,15.6076935150001,0.0204556247946705,49.8280052223564
-565.30271119636,-560.462545177035,0.915335422391711,22.9542003970217,0.0862664266564108,78.1540140512422
-538.810698400369,-533.960532381044,4.16810653121806,14.0030310917146,0.0111815436260379,95.6793785638419
-535.700183179815,-530.84001716049,4.19422120878378,13.7369092530364,0.0310418165757277,41.2221587686253
-531.502815151563,-526.632649132238,4.23458035018422,14.2000172111425,0.0174001421925579,40.3226531329685
-526.519739475549,-521.639573456224,4.28022454192397,22.2522081421559,0.0465340099670177,91.4414444872123
-523.880765723377,-518.990599704052,4.30455688148326,15.3027795759368,0.0154008901802652,30.7562413324587
-516.014676195191,-511.114510175866,4.37739650204602,14.4502022039949,0.0208078390281269,94.9448848725594
